X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.72842972,30.362828,3159,713095.8686,0.001999872,0.034636507,0.952942428,0.002715839,0,1,0,0,0,0,0,0,0,0,0,0,18,1,55429,65,261,195.9723872,0,0,0,0,0,0,Rest,Wooten,214.8198165,214.8198165,0
-97.72981182,30.36046761,3160,1389854.336,0.003427819,0.048477963,0.935888194,0.002406374,others,others,0,others,0,0,0,0,0,0,0,0,11,1,57661,135.8,263,202.292624,0,0,0,0,0,0,Rest,North Shoal Creek,207.2761756,207.2761756,0
-97.78046564,30.19389431,3169,862514.0528,0.009311193,0.016126556,0.958209851,0.003238514,0,0,0,0,0,0,1,0,0,0,0,0,16,1,60919,129,283,382.8741884,0,0,0,0,0,0,Rest,Sweetbriar,303.6092869,303.6092869,0
-97.78349,30.19479,3170,548501.7734,0.00629032,0.015577729,0.970027676,0.001635846,0,0,0,0,0,0,1,0,0,0,0,0,15,1,60919,130.2,294,381.9997675,0,0,0,0,0,0,Rest,Sweetbriar,336.7530141,336.7530141,0
-97.7883447,30.19749916,3172,1396866.629,0.00327244,0.008304302,0.98100279,0.000312078,0,0,0,0,0,0,1,0,0,0,0,0,7,1,51853,130,333,395.9503909,0,0,0,0,0,0,Rest,Garrison Park,327.7429632,327.7429632,0
-97.79577646,30.19956063,3173,646328.564,0.000936974,0.007898225,0.982210143,0.000408516,0,0,0,0,0,0,1,0,0,0,0,0,1,1,69191,130.4,379,363.2610352,0,0,0,0,0,0,Rest,Garrison Park,322.0131553,322.0131553,0
-97.79945003,30.20074111,3174,743837.6552,0.003254136,0.008665824,0.975613781,0.000483049,0,0,0,0,0,0,1,0,0,0,0,0,1,1,69191,130.4,353,347.5876205,0,0,0,0,0,0,Rest,Garrison Park,357.5781716,357.5781716,0
-97.80478967,30.20255115,3175,528628.0559,0.015166516,0.012840166,0.956819389,0.000642,0,0,0,0,0,0,1,0,0,0,0,0,7,1,68769,130.4,301,291.1984015,0,0,0,0,0,0,Rest,Garrison Park,270.4749999,270.4749999,0
-97.80847157,30.20352229,3177,719776.9777,0.013146664,0.008594085,0.962612832,0.000556499,others,0,0,0,others,0,others,0,0,0,0,0,4,1,79904,134.8,279,157.2818293,0,0,0,0,0,0,Rest,Not Defined,185.3654236,185.3654236,0
-97.81773381,30.20817004,3178,1576759.134,0.001953944,0.002674429,0.982781625,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,69562,130.4,290,278.0876338,0,0,0,0,0,0,Rest,Garrison Park,271.2349399,271.2349399,0
-97.82521212,30.21155326,3179,446789.0426,0.018824126,0.021280336,0.891363593,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,69562,130.6,306,272.9955451,0,0,0,0,0,0,Rest,Not Defined,301.813364,301.813364,0
-97.82747548,30.21263612,3180,342678.189,0.016546896,0.03449171,0.863309084,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,69562,130.6,308,259.7451001,0,0,0,0,0,0,Rest,Not Defined,299.9631202,299.9631202,0
-97.83103324,30.21299257,3182,539855.0378,0.008925446,0.024141067,0.929893546,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,88690,130.4,317,208.1331955,0,0,0,0,0,0,Rest,Not Defined,212.4475279,212.4475279,0
-97.83498585,30.20718327,3183,529692.3085,0.004967709,0.008084261,0.968787582,0.000169044,0,0,0,0,0,0,1,0,0,0,0,0,40,1,88690,65.2,372,129.4293022,0,0,0,0,0,0,Rest,Not Defined,127.4637745,127.4637745,0
